20
49E7AA,P,Backhoe,MegaTract 150HP
B458XG,S,Delivery,Haymaker 400
JXFWNE,S,Tractor Driving Lessons,225.50
Q6M8RX,E,Wire fencing,225.50
VDKMG9,P,Top soil,225.50
PXKN6G,P,Tractor Driving Lessons,MegaTract 150HP
WD2G5F,E,Plowing,Husker 2000
NXERQ2,P,Tractor Driving Lessons,F105
K6EX84,S,Tractor Driving Lessons,500
6H5KRW,P,Cattle Vaccination,25
E4K4E2,P,Top soil,F105
Q8G456,E,Tractor Driving Lessons,F105
N5JJWY,S,Haybale,Haymaker 400
QRVBEX,S,Top soil,Haymaker 400
K9V87G,E,Tractor Driving Lessons,F105
AJ4JQ9,S,Plowing,225.50
3FHXFE,E,Plowing,F105
NMS5TM,S,Harvester,225.50
M1VSC9,S,Tractor,25
8SBGVV,E,Corn seed,500
